Season,Competition,Matchday,Venue,Club,Opponent,Playing_Position,Minute,Minute,Type,Goal_assist
5-Apr,LaLiga,34,H,FC Barcelona,Albacete Balompie,CF,90+1,90+1,Left-footed shot,Ronaldinho Gaacho
6-May,UEFA Champions League,Group Stage,H,FC Barcelona,Panathinaikos Athens,RW,34,34,Left-footed shot,
6-May,LaLiga,13,H,FC Barcelona,Racing Santander,RW,51,51,Left-footed shot,Samuel Etoo
6-May,LaLiga,19,H,FC Barcelona,Athletic Bilbao,RW,50,50,Left-footed shot,Mark van Bommel
6-May,LaLiga,20,H,FC Barcelona,Deportivo Alaves,CF,82,82,Left-footed shot,Ronaldinho Gaacho
6-May,LaLiga,21,A,FC Barcelona,RCD Mallorca,CF,75,75,Right-footed shot,Sylvinho
6-May,LaLiga,21,A,FC Barcelona,RCD Mallorca,CF,83,83,Left-footed shot,Ronaldinho Gaacho
6-May,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Zaragoza,CF,42,42,Header,Ludovic Giuly
6-May,LaLiga,24,H,FC Barcelona,Real Betis Balompie,RW,84,84,Left-footed shot,
7-Jun,LaLiga,1,A,FC Barcelona,Celta de Vigo,LW,59,59,Left-footed shot,Andres Iniesta
7-Jun,LaLiga,2,H,FC Barcelona,CA Osasuna,RW,36,36,Left-footed shot,Samuel Etoo
7-Jun,UEFA Champions League,Group Stage,A,FC Barcelona,SV Werder Bremen,RW,89,89,Left-footed shot,Deco
7-Jun,LaLiga,6,H,FC Barcelona,Sevilla FC,RW,80,80,Right-footed shot,Xavi
7-Jun,LaLiga,26,H,FC Barcelona,Real Madrid,RW,11,11,Left-footed shot,Samuel Etoo
7-Jun,LaLiga,26,H,FC Barcelona,Real Madrid,RW,28,28,Left-footed shot,
7-Jun,LaLiga,26,H,FC Barcelona,Real Madrid,RW,90+1,90+1,Left-footed shot,Ronaldinho Gaacho
7-Jun,LaLiga,27,A,FC Barcelona,Recreativo Huelva,RW,86,86,Left-footed shot,
7-Jun,LaLiga,28,H,FC Barcelona,Deportivo de La Coruaa,RW,45,45,Left-footed shot,Ronaldinho Gaacho
7-Jun,Copa del Rey,Semi-Finals,H,FC Barcelona,Getafe CF,RW,29,29,Solo run,Xavi
7-Jun,Copa del Rey,Semi-Finals,H,FC Barcelona,Getafe CF,RW,45,45,Left-footed shot,Deco
7-Jun,LaLiga,35,A,FC Barcelona,Atletico de Madrid,RW,39,39,Left-footed shot,Samuel Etoo
7-Jun,LaLiga,35,A,FC Barcelona,Atletico de Madrid,RW,80,80,Left-footed shot,Giovanni van Bronckhorst
7-Jun,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,RW,43,43,,Gianluca Zambrotta
7-Jun,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,RW,57,57,Right-footed shot,Deco
7-Jun,LaLiga,38,A,FC Barcelona,Gimnastic de Tarragona,RW,34,34,Left-footed shot,Deco
7-Jun,LaLiga,38,A,FC Barcelona,Gimnastic de Tarragona,RW,51,51,Left-footed shot,Deco
8-Jul,UEFA Champions League,Group Stage,H,FC Barcelona,Olympique Lyon,RW,82,82,Left-footed shot,Andres Iniesta
8-Jul,LaLiga,4,H,FC Barcelona,Sevilla FC,RW,72,72,Left-footed shot,Thierry Henry
8-Jul,LaLiga,4,H,FC Barcelona,Sevilla FC,RW,79,79,Penalty,
8-Jul,LaLiga,5,H,FC Barcelona,Real Zaragoza,RW,5,5,Left-footed shot,Thierry Henry
8-Jul,LaLiga,5,H,FC Barcelona,Real Zaragoza,RW,10,10,Left-footed shot,Deco
8-Jul,LaLiga,6,A,FC Barcelona,Levante UD,RW,50,50,Left-footed shot,Deco
8-Jul,UEFA Champions League,Group Stage,A,FC Barcelona,VfB Stuttgart,RW,66,66,Deflected shot on goal,Thierry Henry
8-Jul,LaLiga,7,H,FC Barcelona,Atletico de Madrid,RW,19,19,Left-footed shot,Ronaldinho Gaacho
8-Jul,LaLiga,9,H,FC Barcelona,UD Almera,RW,80,80,Penalty,
8-Jul,UEFA Champions League,Group Stage,H,FC Barcelona,Rangers FC,RW,41,41,Left-footed shot,Ronaldinho Gaacho
8-Jul,LaLiga,13,H,FC Barcelona,Recreativo Huelva,RW,81,81,Penalty,
8-Jul,UEFA Champions League,Group Stage,A,FC Barcelona,Olympique Lyon,RW,58,58,Penalty,
8-Jul,UEFA Champions League,last 16,A,FC Barcelona,Celtic FC,RW,18,18,Left-footed shot,Deco
8-Jul,UEFA Champions League,last 16,A,FC Barcelona,Celtic FC,RW,79,79,Left-footed shot,
8-Jul,LaLiga,25,H,FC Barcelona,Levante UD,RW,44,44,Left-footed shot,Xavi
8-Jul,LaLiga,35,H,FC Barcelona,Valencia CF,RW,5,5,Penalty,
9-Aug,LaLiga,2,H,FC Barcelona,Racing Santander,RW,70,70,Penalty,
9-Aug,LaLiga,3,A,FC Barcelona,Sporting GijÃ³n,RW,85,85,Left-footed shot,Andres Iniesta
9-Aug,LaLiga,3,A,FC Barcelona,Sporting GijÃ³n,RW,89,89,Header,Xavi
9-Aug,LaLiga,5,A,FC Barcelona,RCD Espanyol Barcelona,RW,90,90,Penalty,
9-Aug,UEFA Champions League,Group Stage,A,FC Barcelona,Shakhtar Donetsk,RW,87,87,Right-footed shot,Bojan Krkic
9-Aug,UEFA Champions League,Group Stage,A,FC Barcelona,Shakhtar Donetsk,RW,90+2,90+2,Left-footed shot,Xavi
9-Aug,LaLiga,6,H,FC Barcelona,Atletico de Madrid,RW,8,8,Direct free kick,
9-Aug,UEFA Champions League,Group Stage,A,FC Barcelona,FC Basel 1893,CF,4,4,Left-footed shot,Dani Alves
9-Aug,LaLiga,9,A,FC Barcelona,Malaga CF,RW,19,19,Left-footed shot,
9-Aug,UEFA Champions League,Group Stage,H,FC Barcelona,FC Basel 1893,RW,61,61,Left-footed shot,Thierry Henry
9-Aug,Copa del Rey,Fifth Round,H,FC Barcelona,Benidorm CD,RW,86,86,Penalty rebound,
9-Aug,LaLiga,11,A,FC Barcelona,Recreativo Huelva,RW,51,51,Left-footed shot,Xavi
9-Aug,UEFA Champions League,Group Stage,A,FC Barcelona,Sporting CP,RW,49,49,Left-footed shot,Dani Alves
9-Aug,LaLiga,13,A,FC Barcelona,Sevilla FC,RW,78,78,Left-footed shot,Xavi
9-Aug,LaLiga,13,A,FC Barcelona,Sevilla FC,RW,90+2,90+2,Left-footed shot,Aleksandr Hleb
9-Aug,LaLiga,15,H,FC Barcelona,Real Madrid,RW,89,89,Counter attack goal,Thierry Henry
9-Aug,Copa del Rey,Round of 16,A,FC Barcelona,Atletico de Madrid,RW,11,11,Left-footed shot,Dani Alves
